============================================================
ROWS WITH EMPTY TARGET COLUMN
============================================================
Timestamp: 2025-12-11 15:38:34
Total rows with empty column: 4675
Row 1064: Target column is empty
Row 1065: Target column is empty
Row 1066: Target column is empty
Row 1067: Target column is empty
Row 1068: Target column is empty
Row 1069: Target column is empty
Row 1070: Target column is empty
Row 1071: Target column is empty
Row 1072: Target column is empty
Row 1073: Target column is empty
Row 1074: Target column is empty
Row 1075: Target column is empty
Row 1076: Target column is empty
Row 1077: Target column is empty
Row 1078: Target column is empty
Row 1079: Target column is empty
Row 1080: Target column is empty
Row 1081: Target column is empty
Row 1082: Target column is empty
Row 1083: Target column is empty
Row 1084: Target column is empty
Row 1085: Target column is empty
Row 1086: Target column is empty
Row 1087: Target column is empty
Row 1088: Target column is empty
Row 1089: Target column is empty
Row 1090: Target column is empty
Row 1091: Target column is empty
Row 1092: Target column is empty
Row 1093: Target column is empty
Row 1094: Target column is empty
Row 1095: Target column is empty
Row 1096: Target column is empty
Row 1097: Target column is empty
Row 1098: Target column is empty
Row 1099: Target column is empty
Row 1100: Target column is empty
Row 1101: Target column is empty
Row 1102: Target column is empty
Row 1103: Target column is empty
Row 1104: Target column is empty
Row 1105: Target column is empty
Row 1106: Target column is empty
Row 1107: Target column is empty
Row 1108: Target column is empty
Row 1109: Target column is empty
Row 1110: Target column is empty
Row 1111: Target column is empty
Row 1112: Target column is empty
Row 1113: Target column is empty
Row 1114: Target column is empty
Row 1115: Target column is empty
Row 1116: Target column is empty
Row 1117: Target column is empty
Row 1118: Target column is empty
Row 1119: Target column is empty
Row 1120: Target column is empty
Row 1121: Target column is empty
